INSTANCE | STATUS | UB | LB | TIME-TO-BEST | DURATION | PEAK-MEMORY
10items/370 | Unfinished | 33547 | 33195.82266 | 195.141 | 601.339 | 0.07477591839
10items/371 | Unfinished | 23385 | 23148.6178 | 511.078 | 602.04 | 0.1270541744
10items/372 | Unfinished | 30574 | 30355.45466 | 488.498 | 600.143 | 0.0352095468
10items/373 | Unfinished | 31154 | 30932.41074 | 521.799 | 600.142 | 0.02590051387
10items/375 | Unfinished | 30222 | 29908.05699 | 592.037 | 600.769 | 0.1568606636
10items/376 | Unfinished | 23647 | 23368.74109 | 514.107 | 603.339 | 0.03884005547
10items/377 | Unfinished | 39416 | 39220.34771 | 482.123 | 601.335 | 0.03849734087
10items/378 | Unfinished | 38503 | 37644.47798 | 412.272 | 600.689 | 0.06897592545
10items/379 | Unfinished | 57461 | 57311.52716 | 585.435 | 609.67 | 0.1546547059
10items/380 | Unfinished | 33319 | 32969.5562 | 586.593 | 601.992 | 0.1435273727
10items/381 | Unfinished | 29019 | 28627.34206 | 553.301 | 601.175 | 0.03969747946
10items/382 | Unfinished | 29921 | 29562.74523 | 499.92 | 602.662 | 0.03703366127
10items/383 | Unfinished | 43810 | 43669.90584 | 598.706 | 600.888 | 0.3252691431
10items/384 | Unfinished | 31625 | 31298.86631 | 380.304 | 600.412 | 0.03648889996
10items/385 | Unfinished | 49576 | 49388.926 | 459.585 | 602.199 | 0.03988249972
10items/386 | Unfinished | 27230 | 26856.9286 | 532.59 | 600.66 | 0.03944481909
10items/387 | Unfinished | 26819 | 26381.38868 | 411.085 | 601.494 | 0.06219357159
10items/390 | Unfinished | 28114 | 27940.78108 | 434.176 | 601.279 | 0.05040087365
10items/391 | Unfinished | 31958 | 31551.13097 | 450.139 | 602.094 | 0.04654445779
10items/389 | Unfinished | 61275 | 60930.77249 | 585.275 | 610.127 | 0.1581709869
10items/392 | Unfinished | 51712 | 51403.71142 | 421.942 | 600.759 | 0.0388082806
10items/393 | Unfinished | 40397 | 40286.04164 | 598.193 | 601.144 | 0.119682543
10items/394 | Unfinished | 36354 | 36082.09318 | 599.707 | 601.595 | 0.03647444583
10items/395 | Unfinished | 25497 | 25353.76717 | 330.112 | 600.756 | 0.2945471229
10items/396 | Unfinished | 26529 | 26167.77026 | 556.617 | 609.958 | 0.1786498893
10items/397 | Unfinished | 29447 | 29291.95792 | 153.178 | 600.449 | 0.3481450938
10items/398 | Unfinished | 30237 | 29989.82574 | 233.05 | 601.196 | 0.05220898613
10items/399 | Unfinished | 34837 | 34684.40416 | 87.735 | 600.758 | 0.1939746067
10items/400 | Unfinished | 49821 | 49484.62799 | 600.148 | 601.283 | 0.1871813843
10items/401 | Unfinished | 18273 | 16757.99574 | 564.467 | 600.87 | 0.04032794666
10items/402 | Unfinished | 26289 | 25029.93263 | 201.126 | 600.158 | 0.04279604461
10items/403 | Unfinished | 25871 | 24679.62667 | 146.921 | 602.124 | 0.04016947933
10items/404 | Unfinished | 29760 | 28782.47939 | 591.473 | 600.226 | 0.03319081664
10items/405 | Unfinished | 18928 | 17463.80303 | 227.375 | 600.408 | 0.0351414727
10items/406 | Unfinished | 19772 | 18736.89377 | 569.438 | 600.508 | 0.04155948386
10items/407 | Unfinished | 21481 | 20255.50243 | 510.75 | 600.612 | 0.04419100098
10items/408 | Unfinished | 29614 | 28501.04196 | 451.396 | 600.671 | 0.04539031908
10items/409 | Unfinished | 20319 | 18724.36659 | 596.288 | 600.258 | 0.04063583352
10items/410 | Unfinished | 19456 | 18238.79709 | 585.861 | 600.369 | 0.04205883108
10items/411 | Unfinished | 18432 | 17275.74241 | 527.017 | 600.785 | 0.0421420671
10items/412 | Unfinished | 18622 | 17259.85568 | 561.861 | 601.629 | 0.04606322292
10items/413 | Unfinished | 24160 | 22897.72874 | 382.652 | 600.536 | 0.05549735297
10items/414 | Unfinished | 16302 | 14930.53822 | 158.303 | 600.11 | 0.03811540361
10items/415 | Unfinished | 21320 | 20260.10085 | 569.596 | 600.099 | 0.04114322644
10items/416 | Unfinished | 18936 | 17914.44829 | 578.691 | 600.918 | 0.04625898041
10items/417 | Unfinished | 27718 | 26645.6702 | 587.618 | 600.546 | 0.03780581616
10items/418 | Unfinished | 23382 | 22225.60212 | 580.594 | 600.735 | 0.04484769329
10items/419 | Unfinished | 24912 | 23701.77458 | 252.961 | 600.719 | 0.04700478818
10items/420 | Unfinished | 27756 | 26432.97498 | 490.873 | 601.349 | 0.04677610472
10items/421 | Unfinished | 21647 | 19712.63471 | 516.965 | 600.988 | 0.03808169719
10items/422 | Unfinished | 23137 | 21875.59603 | 508.314 | 600.363 | 0.0398038486
10items/423 | Unfinished | 21772 | 20429.57369 | 593.319 | 601.689 | 0.03866107576
10items/424 | Unfinished | 20406 | 19186.68904 | 454.774 | 600.987 | 0.05052489974
10items/425 | Unfinished | 21815 | 20516.13505 | 168.339 | 600.475 | 0.03879589122
10items/426 | Unfinished | 23926 | 22457.97406 | 502.68 | 600.797 | 0.04247897677
10items/427 | Unfinished | 19759 | 18331.18036 | 593.391 | 600.664 | 0.04365445115
10items/428 | Unfinished | 17915 | 16816.63487 | 453.486 | 601.354 | 0.04903337173
10items/429 | Unfinished | 24358 | 23047.82787 | 466.74 | 600.945 | 0.04683663044
10items/430 | Unfinished | 22105 | 21036.21626 | 429.813 | 600.665 | 0.04537032638
10items/431 | Unfinished | 23802 | 22569.65116 | 494.892 | 600.179 | 0.03298703674
10items/432 | Unfinished | 20835 | 19539.94589 | 531.16 | 600.108 | 0.04210668989
10items/433 | Unfinished | 29834 | 28840.21078 | 437.558 | 600.759 | 0.04784965329
10items/434 | Unfinished | 18958 | 17978.09398 | 139.223 | 600.774 | 0.04224759992
10items/435 | Unfinished | 15355 | 13872.09516 | 499.019 | 600.981 | 0.03956389707
10items/436 | Unfinished | 20198 | 18691.18275 | 468.53 | 601.124 | 0.04655996524
10items/437 | Unfinished | 21654 | 20415.11958 | 395.982 | 601.326 | 0.04289143253
10items/438 | Unfinished | 21174 | 20230.32749 | 552.35 | 600.188 | 0.04319448024
10items/439 | Unfinished | 31054 | 30130.4981 | 424.751 | 600.386 | 0.05306317285
10items/440 | Unfinished | 19792 | 18408.30726 | 323.693 | 601.144 | 0.06586537696
10items/441 | Unfinished | 20647 | 19357.91512 | 461.265 | 601.374 | 0.05553828273
10items/442 | Unfinished | 17336 | 16073.92254 | 395.616 | 601.216 | 0.04501553159
10items/443 | Unfinished | 18230 | 17039.14026 | 471.585 | 600.701 | 0.06257939804
10items/444 | Unfinished | 24601 | 23281.35542 | 584.875 | 601.134 | 0.03982098773
10items/446 | Unfinished | 26173 | 25140.09898 | 347.087 | 600.415 | 0.06979908049
10items/445 | Unfinished | 18818 | 17539.71317 | 498.036 | 606.929 | 0.04399643373
10items/447 | Unfinished | 22976 | 21682.66427 | 495.858 | 601.074 | 0.04629690759
10items/448 | Unfinished | 22015 | 20327.66403 | 514.91 | 600.917 | 0.04451530986
10items/449 | Unfinished | 19535 | 18447.5855 | 507.731 | 601.125 | 0.03927437402
10items/450 | Unfinished | 20827 | 19900.40442 | 499.229 | 601.071 | 0.04664681852
10items/451 | Unfinished | 26997 | 25756.64135 | 547.061 | 601.496 | 0.04025630932
10items/452 | Unfinished | 20109 | 18826.00667 | 458.29 | 601.248 | 0.05062404461
10items/453 | Unfinished | 23607 | 22325.8859 | 445.029 | 601.145 | 0.06095853541
10items/454 | Unfinished | 21338 | 19835.197 | 487.111 | 601.397 | 0.0435876688
10items/455 | Unfinished | 24676 | 22935.33578 | 354.38 | 600.789 | 0.05927695055
10items/456 | Unfinished | 18549 | 17209.42714 | 385.821 | 601.758 | 0.04975869041
10items/457 | Unfinished | 18768 | 17704.80457 | 232.794 | 604.088 | 0.08748472016
10items/458 | Unfinished | 21169 | 19912.74929 | 466.961 | 601.526 | 0.04831201583
10items/459 | Unfinished | 19987 | 18646.95642 | 131.863 | 602.331 | 0.04566448182
10items/460 | Unfinished | 20277 | 19028.46654 | 285.956 | 602.266 | 0.08916153945
10items/461 | Unfinished | 24121 | 22783.66628 | 344.588 | 601.462 | 0.05371919181
10items/462 | Unfinished | 17815 | 16603.14656 | 188.078 | 606.406 | 0.042537136
10items/463 | Unfinished | 28370 | 27511.55425 | 431.413 | 600.762 | 0.03673934285
10items/464 | Unfinished | 23832 | 22749.04018 | 369.414 | 601.365 | 0.05753288791
10items/465 | Unfinished | 19031 | 17600.61221 | 587.911 | 600.786 | 0.04275615327
10items/466 | Unfinished | 21520 | 19977.54125 | 459.411 | 600.234 | 0.03972383495
10items/467 | Unfinished | 22194 | 20917.87361 | 578.236 | 602.36 | 0.04384290613
10items/468 | Unfinished | 23741 | 22618.65888 | 487.511 | 600.643 | 0.04642798565
10items/469 | Unfinished | 21242 | 20068.19078 | 412.23 | 600.633 | 0.04902454838
10items/470 | Unfinished | 23443 | 22911.59022 | 402.163 | 601.09 | 0.03730431478
10items/471 | Unfinished | 24073 | 22719.28157 | 298.355 | 601.057 | 0.05386851262
10items/472 | Unfinished | 22760 | 21610.89425 | 123.945 | 600.609 | 0.04164107796
10items/473 | Unfinished | 18799 | 18042.0049 | 571.849 | 600.188 | 0.04801948555
10items/474 | Unfinished | 21716 | 20670.10691 | 589.401 | 600.098 | 0.04559605103
