            Instance |     Method |               Status |      Value |      RAM |   Best (s) | Proved (s) | Solution                                                                        
                  75 |        lns |     closed(improved) |       9904 |     0.01 |       2.34 |       2.34 | 3 3 3 3 9 9 9 4 4 4 4 1 1 1 5 5 5 5 5 8 0 7 7 7 8 2 2 2 7 6 6 6 8 2 7 0 0 0 8 8 2 2 7 0 8 7 7 6 6 0 
                  83 |        lns |     closed(improved) |      15603 |     0.01 |       1.27 |       2.07 | 9 9 9 9 1 1 1 1 1 3 3 3 3 3 3 3 5 5 5 5 2 4 7 4 4 0 8 6 6 7 2 2 2 2 2 2 7 4 0 8 8 6 0 0 4 7 4 6 6 2 
                   7 |        lns |     closed(improved) |      14018 |     0.01 |       3.86 |       3.86 | 4 4 9 9 9 9 9 8 8 8 8 8 2 2 2 2 2 0 0 0 0 6 3 7 7 0 6 6 6 5 1 6 3 7 7 7 6 6 3 3 5 5 1 6 3 5 5 1 6 3 
                  90 |        lns |     closed(improved) |      17149 |     0.01 |       0.95 |       1.82 | 9 9 9 0 0 0 0 1 1 1 4 2 2 2 2 2 2 8 4 4 4 4 4 2 3 6 6 5 5 5 8 3 5 5 8 8 6 6 6 7 7 8 8 3 3 6 7 5 5 3 
                  71 |        lns |     closed(improved) |      15800 |     0.01 |       2.06 |       2.63 | 0 0 0 0 0 0 0 0 7 7 7 7 7 5 5 5 5 5 5 9 2 2 3 3 1 1 1 1 8 9 8 8 9 3 1 1 2 2 3 8 8 9 3 2 8 1 5 5 9 2 
                  84 |        lns |     closed(improved) |      15586 |     0.01 |       1.03 |       2.08 | 7 7 7 1 1 1 1 1 1 4 4 4 4 4 3 6 6 6 6 6 2 2 0 3 2 8 4 5 0 0 8 8 0 0 5 6 6 2 8 0 9 9 6 5 0 3 8 2 2 0 
                  85 |        lns |     closed(improved) |       9848 |     0.03 |       1.40 |       2.34 | 1 1 1 1 1 1 1 1 4 4 4 4 4 5 5 5 6 6 6 8 8 8 8 2 8 7 2 0 9 9 2 9 3 0 0 7 2 8 8 2 7 9 9 2 3 7 2 8 5 0 
                  93 |        lns |     closed(improved) |      13246 |     0.01 |       2.20 |       2.20 | 7 7 7 7 7 2 2 2 3 3 3 3 9 9 9 9 1 1 1 1 6 4 1 1 1 4 4 4 4 8 6 0 6 6 0 5 8 8 8 6 6 5 5 0 5 0 0 0 0 6 
                  49 |        lns |     closed(improved) |      17353 |     0.01 |       4.04 |       4.04 | 4 4 4 4 4 2 2 2 2 2 2 2 2 1 1 1 1 8 8 8 8 8 8 8 6 0 0 6 5 5 9 9 0 0 0 3 7 7 6 9 0 3 3 7 5 5 3 3 3 7 
                  53 |        lns |     closed(improved) |       7757 |     0.03 |       2.29 |       4.18 | 6 6 6 6 6 3 3 3 1 1 1 1 1 4 4 4 4 4 4 8 5 4 8 8 7 7 0 0 0 2 5 9 9 7 7 2 8 0 0 2 7 9 9 8 0 7 7 7 2 5 
                  82 |        lns |     closed(improved) |      13457 |     0.01 |       2.40 |       3.49 | 4 4 4 4 4 4 8 8 8 8 8 3 3 3 3 3 3 3 5 7 7 9 9 9 9 0 7 7 1 6 6 0 0 5 6 1 1 2 0 0 0 0 0 1 2 2 5 5 0 1 
                 124 |        lns |     closed(improved) |       8625 |     0.01 |       1.21 |       1.21 | 9 9 6 6 6 6 6 6 1 1 1 1 5 5 5 5 5 5 5 5 0 0 0 0 0 2 2 2 4 4 7 8 8 8 8 4 4 4 3 3 0 0 0 0 8 4 4 4 3 2 
                  60 |        lns |     closed(improved) |      15101 |     0.01 |       2.69 |       4.29 | 1 1 1 1 1 8 8 8 8 0 0 0 0 0 0 9 9 9 9 9 4 2 2 5 5 2 2 4 6 6 3 3 3 7 4 4 3 3 3 3 2 5 3 7 4 4 2 3 3 2 
                  86 |        lns |     closed(improved) |       9987 |     0.01 |       2.86 |       3.57 | 7 7 8 8 8 8 8 8 2 2 2 2 2 2 3 3 3 3 9 9 5 1 1 4 9 9 4 6 6 6 6 6 0 0 4 1 1 5 4 1 1 9 4 4 3 3 0 0 2 1 
                 114 |        lns |     closed(improved) |       9043 |     0.01 |       2.54 |       2.54 | 3 3 3 3 3 5 5 5 5 5 2 2 2 1 1 1 1 1 1 8 0 0 0 7 7 7 0 0 0 0 4 7 7 7 7 4 9 9 7 7 7 4 4 6 8 8 0 0 7 9 
